tract,trans_totals,estimate,moe,geometry
167,total - white,954,167,"list(list(c(-78.814359, -78.814108, -78.814039, -78.814177, -78.807592, -78.80384, -78.800709, -78.799549, -78.799757, -78.799904, -78.804151, -78.804918, -78.808645, -78.809594, -78.81998, -78.814359, 42.87991, 42.88083, 42.884095, 42.884788, 42.88472, 42.884679, 42.885035, 42.884582, 42.876333, 42.871731, 42.871817, 42.871827, 42.871877, 42.871892, 42.872059, 42.87991)))"
167,car/van/truck - white,704,153,"list(list(c(-78.814359, -78.814108, -78.814039, -78.814177, -78.807592, -78.80384, -78.800709, -78.799549, -78.799757, -78.799904, -78.804151, -78.804918, -78.808645, -78.809594, -78.81998, -78.814359, 42.87991, 42.88083, 42.884095, 42.884788, 42.88472, 42.884679, 42.885035, 42.884582, 42.876333, 42.871731, 42.871817, 42.871827, 42.871877, 42.871892, 42.872059, 42.87991)))"
167,car/van/truck - carpooled white,140,85,"list(list(c(-78.814359, -78.814108, -78.814039, -78.814177, -78.807592, -78.80384, -78.800709, -78.799549, -78.799757, -78.799904, -78.804151, -78.804918, -78.808645, -78.809594, -78.81998, -78.814359, 42.87991, 42.88083, 42.884095, 42.884788, 42.88472, 42.884679, 42.885035, 42.884582, 42.876333, 42.871731, 42.871817, 42.871827, 42.871877, 42.871892, 42.872059, 42.87991)))"
167,public transportation - white,55,51,"list(list(c(-78.814359, -78.814108, -78.814039, -78.814177, -78.807592, -78.80384, -78.800709, -78.799549, -78.799757, -78.799904, -78.804151, -78.804918, -78.808645, -78.809594, -78.81998, -78.814359, 42.87991, 42.88083, 42.884095, 42.884788, 42.88472, 42.884679, 42.885035, 42.884582, 42.876333, 42.871731, 42.871817, 42.871827, 42.871877, 42.871892, 42.872059, 42.87991)))"
167,walked - white,39,26,"list(list(c(-78.814359, -78.814108, -78.814039, -78.814177, -78.807592, -78.80384, -78.800709, -78.799549, -78.799757, -78.799904, -78.804151, -78.804918, -78.808645, -78.809594, -78.81998, -78.814359, 42.87991, 42.88083, 42.884095, 42.884788, 42.88472, 42.884679, 42.885035, 42.884582, 42.876333, 42.871731, 42.871817, 42.871827, 42.871877, 42.871892, 42.872059, 42.87991)))"
167,taxi or other means - white,0,12,"list(list(c(-78.814359, -78.814108, -78.814039, -78.814177, -78.807592, -78.80384, -78.800709, -78.799549, -78.799757, -78.799904, -78.804151, -78.804918, -78.808645, -78.809594, -78.81998, -78.814359, 42.87991, 42.88083, 42.884095, 42.884788, 42.88472, 42.884679, 42.885035, 42.884582, 42.876333, 42.871731, 42.871817, 42.871827, 42.871877, 42.871892, 42.872059, 42.87991)))"
167,wfh - white,16,20,"list(list(c(-78.814359, -78.814108, -78.814039, -78.814177, -78.807592, -78.80384, -78.800709, -78.799549, -78.799757, -78.799904, -78.804151, -78.804918, -78.808645, -78.809594, -78.81998, -78.814359, 42.87991, 42.88083, 42.884095, 42.884788, 42.88472, 42.884679, 42.885035, 42.884582, 42.876333, 42.871731, 42.871817, 42.871827, 42.871877, 42.871892, 42.872059, 42.87991)))"
167,total - black,139,94,"list(list(c(-78.814359, -78.814108, -78.814039, -78.814177, -78.807592, -78.80384, -78.800709, -78.799549, -78.799757, -78.799904, -78.804151, -78.804918, -78.808645, -78.809594, -78.81998, -78.814359, 42.87991, 42.88083, 42.884095, 42.884788, 42.88472, 42.884679, 42.885035, 42.884582, 42.876333, 42.871731, 42.871817, 42.871827, 42.871877, 42.871892, 42.872059, 42.87991)))"
167,car/van/truck - black,76,68,"list(list(c(-78.814359, -78.814108, -78.814039, -78.814177, -78.807592, -78.80384, -78.800709, -78.799549, -78.799757, -78.799904, -78.804151, -78.804918, -78.808645, -78.809594, -78.81998, -78.814359, 42.87991, 42.88083, 42.884095, 42.884788, 42.88472, 42.884679, 42.885035, 42.884582, 42.876333, 42.871731, 42.871817, 42.871827, 42.871877, 42.871892, 42.872059, 42.87991)))"
167,car/van/truck - carpooled black,31,49,"list(list(c(-78.814359, -78.814108, -78.814039, -78.814177, -78.807592, -78.80384, -78.800709, -78.799549, -78.799757, -78.799904, -78.804151, -78.804918, -78.808645, -78.809594, -78.81998, -78.814359, 42.87991, 42.88083, 42.884095, 42.884788, 42.88472, 42.884679, 42.885035, 42.884582, 42.876333, 42.871731, 42.871817, 42.871827, 42.871877, 42.871892, 42.872059, 42.87991)))"
167,public transportation - black,0,12,"list(list(c(-78.814359, -78.814108, -78.814039, -78.814177, -78.807592, -78.80384, -78.800709, -78.799549, -78.799757, -78.799904, -78.804151, -78.804918, -78.808645, -78.809594, -78.81998, -78.814359, 42.87991, 42.88083, 42.884095, 42.884788, 42.88472, 42.884679, 42.885035, 42.884582, 42.876333, 42.871731, 42.871817, 42.871827, 42.871877, 42.871892, 42.872059, 42.87991)))"
167,walked - black,32,28,"list(list(c(-78.814359, -78.814108, -78.814039, -78.814177, -78.807592, -78.80384, -78.800709, -78.799549, -78.799757, -78.799904, -78.804151, -78.804918, -78.808645, -78.809594, -78.81998, -78.814359, 42.87991, 42.88083, 42.884095, 42.884788, 42.88472, 42.884679, 42.885035, 42.884582, 42.876333, 42.871731, 42.871817, 42.871827, 42.871877, 42.871892, 42.872059, 42.87991)))"
167,taxi or other means - black,0,12,"list(list(c(-78.814359, -78.814108, -78.814039, -78.814177, -78.807592, -78.80384, -78.800709, -78.799549, -78.799757, -78.799904, -78.804151, -78.804918, -78.808645, -78.809594, -78.81998, -78.814359, 42.87991, 42.88083, 42.884095, 42.884788, 42.88472, 42.884679, 42.885035, 42.884582, 42.876333, 42.871731, 42.871817, 42.871827, 42.871877, 42.871892, 42.872059, 42.87991)))"
167,wfh - black,0,12,"list(list(c(-78.814359, -78.814108, -78.814039, -78.814177, -78.807592, -78.80384, -78.800709, -78.799549, -78.799757, -78.799904, -78.804151, -78.804918, -78.808645, -78.809594, -78.81998, -78.814359, 42.87991, 42.88083, 42.884095, 42.884788, 42.88472, 42.884679, 42.885035, 42.884582, 42.876333, 42.871731, 42.871817, 42.871827, 42.871877, 42.871892, 42.872059, 42.87991)))"
167,total - american indian/alaska native,24,33,"list(list(c(-78.814359, -78.814108, -78.814039, -78.814177, -78.807592, -78.80384, -78.800709, -78.799549, -78.799757, -78.799904, -78.804151, -78.804918, -78.808645, -78.809594, -78.81998, -78.814359, 42.87991, 42.88083, 42.884095, 42.884788, 42.88472, 42.884679, 42.885035, 42.884582, 42.876333, 42.871731, 42.871817, 42.871827, 42.871877, 42.871892, 42.872059, 42.87991)))"
167,car/van/truck - american indian/alaska native,11,17,"list(list(c(-78.814359, -78.814108, -78.814039, -78.814177, -78.807592, -78.80384, -78.800709, -78.799549, -78.799757, -78.799904, -78.804151, -78.804918, -78.808645, -78.809594, -78.81998, -78.814359, 42.87991, 42.88083, 42.884095, 42.884788, 42.88472, 42.884679, 42.885035, 42.884582, 42.876333, 42.871731, 42.871817, 42.871827, 42.871877, 42.871892, 42.872059, 42.87991)))"
167,car/van/truck - carpooled american indian/alaska native,0,12,"list(list(c(-78.814359, -78.814108, -78.814039, -78.814177, -78.807592, -78.80384, -78.800709, -78.799549, -78.799757, -78.799904, -78.804151, -78.804918, -78.808645, -78.809594, -78.81998, -78.814359, 42.87991, 42.88083, 42.884095, 42.884788, 42.88472, 42.884679, 42.885035, 42.884582, 42.876333, 42.871731, 42.871817, 42.871827, 42.871877, 42.871892, 42.872059, 42.87991)))"
167,public transportation - american indian/alaska native,13,29,"list(list(c(-78.814359, -78.814108, -78.814039, -78.814177, -78.807592, -78.80384, -78.800709, -78.799549, -78.799757, -78.799904, -78.804151, -78.804918, -78.808645, -78.809594, -78.81998, -78.814359, 42.87991, 42.88083, 42.884095, 42.884788, 42.88472, 42.884679, 42.885035, 42.884582, 42.876333, 42.871731, 42.871817, 42.871827, 42.871877, 42.871892, 42.872059, 42.87991)))"
167,walked - american indian/alaska native,0,12,"list(list(c(-78.814359, -78.814108, -78.814039, -78.814177, -78.807592, -78.80384, -78.800709, -78.799549, -78.799757, -78.799904, -78.804151, -78.804918, -78.808645, -78.809594, -78.81998, -78.814359, 42.87991, 42.88083, 42.884095, 42.884788, 42.88472, 42.884679, 42.885035, 42.884582, 42.876333, 42.871731, 42.871817, 42.871827, 42.871877, 42.871892, 42.872059, 42.87991)))"
167,taxi or other means - american indian/alaska native,0,12,"list(list(c(-78.814359, -78.814108, -78.814039, -78.814177, -78.807592, -78.80384, -78.800709, -78.799549, -78.799757, -78.799904, -78.804151, -78.804918, -78.808645, -78.809594, -78.81998, -78.814359, 42.87991, 42.88083, 42.884095, 42.884788, 42.88472, 42.884679, 42.885035, 42.884582, 42.876333, 42.871731, 42.871817, 42.871827, 42.871877, 42.871892, 42.872059, 42.87991)))"
