tract,trans_totals,estimate,moe,geometry
37,public transportation - black,220,109,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,walked - black,20,34,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,taxi or other means - black,67,102,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,wfh - black,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,total - american indian/alaska native,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,car/van/truck - american indian/alaska native,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,car/van/truck - carpooled american indian/alaska native,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,public transportation - american indian/alaska native,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,walked - american indian/alaska native,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,taxi or other means - american indian/alaska native,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,wfh - american indian/alaska native,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,total - asian,56,57,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,car/van/truck - asian,46,48,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,car/van/truck - carpooled asian,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,public transportation - asian,10,13,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,walked - asian,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,taxi or other means - asian,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,wfh - asian,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,total - native hawaiian/other pacific,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,car/van/truck - native hawaiian/other pacific,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,car/van/truck - carpooled native hawaiian/other pacific,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,public transportation - native hawaiian/other pacific,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,walked - native hawaiian/other pacific,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,taxi or other means - native hawaiian/other pacific,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,wfh - native hawaiian/other pacific,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,total - some other race,61,69,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,car/van/truck - some other race,40,64,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,car/van/truck - carpooled some other race,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,public transportation - some other race,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,walked - some other race,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,taxi or other means - some other race,21,29,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
