"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","New York!!Estimate","New York!!Margin of Error","Erie County, New York!!Estimate","Erie County, New York!!Margin of Error","Buffalo city, New York!!Estimate","Buffalo city, New York!!Margin of Error"
"Total:","325,719,178","*****","19,849,399","*****","925,528","*****","258,592","±82"
"    Male:","160,402,504","±26,371","9,637,896","±4,655","448,284","±172","123,489","±2,705"
"        Under 5 years","10,138,447","±17,217","593,162","±2,656","26,012","±269","7,821","±1,030"
"        5 to 9 years","10,223,398","±42,853","561,067","±10,311","26,224","±1,660","8,316","±1,227"
"        10 to 14 years","10,854,851","±38,203","603,973","±10,067","26,483","±1,651","6,862","±1,059"
"        15 to 17 years","6,456,448","±17,937","364,387","±2,274","17,587","±96","4,851","±718"
"        18 and 19 years","4,547,414","±21,689","266,786","±3,285","13,499","±530","3,936","±1,018"
"        20 years","2,354,931","±29,380","139,350","±6,629","7,397","±1,541","3,101","±1,263"
"        21 years","2,284,991","±31,180","136,139","±5,965","7,069","±1,049","2,978","±825"
"        22 to 24 years","6,640,221","±30,593","406,415","±7,801","15,699","±1,520","5,258","±1,096"
"        25 to 29 years","11,720,804","±18,237","756,031","±2,825","35,263","±137","13,556","±1,814"
"        30 to 34 years","11,023,521","±15,891","703,026","±2,722","31,044","±169","11,004","±1,361"
"        35 to 39 years","10,664,164","±44,003","642,742","±8,775","25,675","±1,813","7,302","±1,326"
"        40 to 44 years","9,807,571","±46,079","573,170","±8,751","24,987","±1,849","6,996","±1,430"
"        45 to 49 years","10,369,440","±18,008","627,988","±2,301","28,018","±214","6,506","±1,042"
"        50 to 54 years","10,521,449","±14,749","664,519","±2,325","30,918","±193","7,148","±999"
"        55 to 59 years","10,561,492","±31,492","650,728","±9,540","36,164","±1,919","8,562","±1,184"
"        60 and 61 years","4,106,765","±27,442","261,113","±7,970","10,606","±1,232","2,596","±705"
"        62 to 64 years","5,606,148","±28,136","333,940","±8,880","16,752","±1,650","3,903","±899"
"        65 and 66 years","3,381,427","±26,124","206,966","±6,003","9,043","±1,156","2,166","±485"
"        67 to 69 years","4,596,961","±23,625","264,099","±6,563","13,281","±1,402","3,108","±699"
"        70 to 74 years","5,912,776","±26,783","345,324","±7,070","19,522","±1,429","3,509","±832"
"        75 to 79 years","3,934,609","±25,451","230,647","±5,363","10,241","±1,188","1,471","±479"
"        80 to 84 years","2,492,574","±18,837","153,362","±5,076","7,480","±1,064","1,282","±429"
"        85 years and over","2,202,102","±18,601","152,962","±5,074","9,320","±1,327","1,257","±417"
"    Female:","165,316,674","±26,371","10,211,503","±4,655","477,244","±172","135,103","±2,710"
"        Under 5 years","9,656,712","±16,582","564,435","±2,690","25,037","±199","8,728","±1,406"
"        5 to 9 years","9,872,549","±41,408","556,750","±8,932","25,588","±1,856","8,849","±1,188"
"        10 to 14 years","10,275,917","±41,176","559,465","±8,347","25,143","±1,872","6,967","±1,077"
"        15 to 17 years","6,170,361","±13,627","350,258","±2,417","16,647","±72","5,216","±948"
"        18 and 19 years","4,322,943","±22,875","255,880","±2,992","13,392","±872","4,454","±810"
"        20 years","2,196,644","±27,932","133,232","±6,138","7,099","±1,660","3,237","±1,494"
"        21 years","2,175,943","±27,337","128,589","±6,090","6,376","±1,508","1,553","±588"
"        22 to 24 years","6,297,325","±33,655","408,379","±7,587","16,316","±1,858","6,315","±1,340"
"        25 to 29 years","11,364,985","±17,074","760,741","±2,057","34,354","±162","13,518","±1,472"
"        30 to 34 years","10,856,425","±16,664","703,569","±2,731","30,974","±249","11,129","±1,208"
"        35 to 39 years","10,709,080","±44,560","656,510","±9,165","26,286","±1,971","6,438","±1,170"
"        40 to 44 years","9,937,090","±43,983","599,291","±9,109","25,238","±1,959","7,551","±1,242"
"        45 to 49 years","10,579,450","±15,245","661,660","±2,669","29,665","±145","8,245","±1,012"
"        50 to 54 years","10,860,616","±12,798","707,050","±1,847","32,697","±268","7,764","±851"
"        55 to 59 years","11,203,692","±39,881","695,819","±10,919","35,848","±2,243","8,778","±1,289"
"        60 and 61 years","4,427,185","±30,306","291,024","±7,501","16,415","±1,757","3,488","±909"
"        62 to 64 years","6,114,494","±38,682","371,162","±8,523","17,441","±1,639","4,702","±975"
"        65 and 66 years","3,752,612","±25,448","230,537","±6,340","10,953","±1,303","2,727","±765"
"        67 to 69 years","5,195,936","±29,982","309,768","±6,818","16,463","±1,255","3,329","±697"
"        70 to 74 years","6,892,164","±31,776","429,706","±6,979","21,222","±1,392","3,741","±683"
"        75 to 79 years","4,920,012","±30,696","317,624","±7,355","16,669","±1,502","3,279","±890"
"        80 to 84 years","3,477,168","±25,161","228,034","±7,469","11,487","±1,255","2,447","±627"
"        85 years and over","4,057,371","±27,635","292,020","±7,356","15,934","±1,378","2,648","±567"
