"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","New York!!Estimate","New York!!Margin of Error","Erie County, New York!!Estimate","Erie County, New York!!Margin of Error","Buffalo city, New York!!Estimate","Buffalo city, New York!!Margin of Error"
"Total:","321,418,821","*****","19,795,791","*****","922,578","*****","258,066","±40"
"    Male:","158,167,834","±31,499","9,616,592","±4,379","447,050","±392","124,537","±2,493"
"        Under 5 years","10,112,826","±16,186","608,138","±1,997","25,642","±139","9,102","±1,329"
"        5 to 9 years","10,507,658","±37,911","583,125","±9,472","24,630","±1,818","8,045","±1,233"
"        10 to 14 years","10,533,944","±39,683","592,975","±9,415","28,755","±1,807","9,032","±1,097"
"        15 to 17 years","6,470,980","±15,297","374,891","±2,117","17,881","±390","4,344","±811"
"        18 and 19 years","4,495,739","±20,858","265,499","±2,657","12,148","±503","4,584","±870"
"        20 years","2,378,536","±25,421","143,388","±4,940","6,557","±1,129","2,160","±705"
"        21 years","2,357,032","±24,832","142,335","±5,253","7,115","±1,049","2,416","±551"
"        22 to 24 years","6,833,725","±27,553","423,553","±6,492","19,606","±1,213","6,688","±1,252"
"        25 to 29 years","11,290,711","±16,558","746,737","±2,224","35,109","±136","12,803","±1,656"
"        30 to 34 years","10,839,950","±18,133","685,579","±2,320","29,384","±284","9,577","±1,213"
"        35 to 39 years","10,235,171","±42,264","617,387","±9,807","24,775","±1,719","6,323","±968"
"        40 to 44 years","10,073,616","±43,025","609,041","±9,970","25,553","±1,767","7,110","±1,207"
"        45 to 49 years","10,315,271","±14,730","654,188","±2,122","29,499","±130","7,217","±867"
"        50 to 54 years","10,957,719","±16,482","690,102","±1,994","32,501","±156","7,741","±1,151"
"        55 to 59 years","10,479,885","±34,621","652,623","±8,471","34,395","±1,834","8,408","±1,098"
"        60 and 61 years","3,939,947","±28,483","242,415","±7,070","13,253","±1,742","3,028","±857"
"        62 to 64 years","5,290,469","±33,087","322,833","±8,791","14,756","±1,531","3,946","±891"
"        65 and 66 years","3,232,330","±24,499","198,159","±5,938","10,242","±1,130","2,547","±757"
"        67 to 69 years","4,357,791","±23,026","251,396","±6,152","11,239","±1,173","1,897","±585"
"        70 to 74 years","5,304,173","±26,282","307,082","±7,095","17,042","±1,333","2,853","±823"
"        75 to 79 years","3,633,694","±23,914","220,110","±5,374","11,009","±1,097","1,810","±556"
"        80 to 84 years","2,419,737","±20,948","146,813","±4,797","8,332","±1,177","1,431","±490"
"        85 years and over","2,106,930","±19,701","138,223","±4,667","7,627","±834","1,475","±492"
"    Female:","163,250,987","±31,500","10,179,199","±4,379","475,528","±392","133,529","±2,495"
"        Under 5 years","9,680,981","±17,102","576,950","±2,242","24,399","±139","8,547","±928"
"        5 to 9 years","10,074,815","±47,373","552,240","±8,262","26,090","±1,813","8,476","±1,261"
"        10 to 14 years","10,093,445","±45,232","569,946","±8,852","25,315","±1,808","7,301","±1,284"
"        15 to 17 years","6,155,061","±15,830","354,902","±1,840","17,189","±448","4,683","±743"
"        18 and 19 years","4,305,132","±19,768","260,309","±2,412","12,125","±397","3,137","±582"
"        20 years","2,258,851","±23,201","148,970","±5,599","7,013","±1,123","3,127","±872"
"        21 years","2,236,422","±24,446","142,252","±6,425","5,730","±1,246","1,669","±573"
"        22 to 24 years","6,476,511","±31,450","414,845","±8,038","20,417","±1,351","7,589","±1,241"
"        25 to 29 years","11,001,691","±14,263","747,344","±2,461","33,647","±187","12,897","±1,374"
"        30 to 34 years","10,765,480","±15,490","695,920","±2,273","28,898","±4","9,756","±1,170"
"        35 to 39 years","10,261,977","±40,408","644,018","±8,633","26,513","±1,930","8,308","±1,335"
"        40 to 44 years","10,233,366","±40,461","628,326","±8,817","25,192","±1,828","6,458","±987"
"        45 to 49 years","10,510,218","±17,748","683,366","±2,049","31,263","±437","7,190","±913"
"        50 to 54 years","11,352,372","±13,018","733,308","±2,075","34,358","±437","8,878","±859"
"        55 to 59 years","11,110,831","±35,903","699,846","±8,707","37,228","±1,621","8,481","±985"
"        60 and 61 years","4,238,969","±26,900","271,398","±7,874","13,608","±1,505","3,128","±730"
"        62 to 64 years","5,817,040","±35,224","354,595","±6,378","17,148","±1,291","4,340","±949"
"        65 and 66 years","3,602,540","±20,626","226,265","±6,274","10,091","±1,268","2,755","±636"
"        67 to 69 years","4,884,995","±23,805","299,081","±5,419","14,282","±1,203","3,302","±605"
"        70 to 74 years","6,205,438","±28,390","379,808","±6,366","21,031","±1,218","4,415","±748"
"        75 to 79 years","4,507,628","±25,724","285,144","±6,624","14,796","±1,326","3,242","±677"
"        80 to 84 years","3,422,987","±24,129","217,864","±6,674","12,688","±1,411","2,764","±794"
"        85 years and over","4,054,237","±24,862","292,502","±6,917","16,507","±1,486","3,086","±736"
