tract,age_sex_totals,estimate,moe,geometry
37,total_50_54,219,92,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,total_55_59,185,86,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,total_60_64,188,67,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,total_65_69,139,57,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,total_70_74,147,75,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,total_75_79,10,13,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,total_80_84,17,20,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,total_85_older,19,27,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,total_male,NA,NA,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,total_female,1687,327,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
52.02,total_under_5,160,87,"list(list(c(-78.857315, -78.853974, -78.853271, -78.851858, -78.851505, -78.850926, -78.842753, -78.842749, -78.842694, -78.843486, -78.843766, -78.844016, -78.84811, -78.84962, -78.853987, -78.857315, 42.922181, 42.925353, 42.926003, 42.927323, 42.927655, 42.927644, 42.927526, 42.923972, 42.923605, 42.921935, 42.921941, 42.921945, 42.922016, 42.92205, 42.922136, 42.922181)))"
52.02,total_5_9,121,74,"list(list(c(-78.857315, -78.853974, -78.853271, -78.851858, -78.851505, -78.850926, -78.842753, -78.842749, -78.842694, -78.843486, -78.843766, -78.844016, -78.84811, -78.84962, -78.853987, -78.857315, 42.922181, 42.925353, 42.926003, 42.927323, 42.927655, 42.927644, 42.927526, 42.923972, 42.923605, 42.921935, 42.921941, 42.921945, 42.922016, 42.92205, 42.922136, 42.922181)))"
52.02,total_10_14,66,43,"list(list(c(-78.857315, -78.853974, -78.853271, -78.851858, -78.851505, -78.850926, -78.842753, -78.842749, -78.842694, -78.843486, -78.843766, -78.844016, -78.84811, -78.84962, -78.853987, -78.857315, 42.922181, 42.925353, 42.926003, 42.927323, 42.927655, 42.927644, 42.927526, 42.923972, 42.923605, 42.921935, 42.921941, 42.921945, 42.922016, 42.92205, 42.922136, 42.922181)))"
52.02,total_15_19,589,159,"list(list(c(-78.857315, -78.853974, -78.853271, -78.851858, -78.851505, -78.850926, -78.842753, -78.842749, -78.842694, -78.843486, -78.843766, -78.844016, -78.84811, -78.84962, -78.853987, -78.857315, 42.922181, 42.925353, 42.926003, 42.927323, 42.927655, 42.927644, 42.927526, 42.923972, 42.923605, 42.921935, 42.921941, 42.921945, 42.922016, 42.92205, 42.922136, 42.922181)))"
52.02,total_20_24,591,158,"list(list(c(-78.857315, -78.853974, -78.853271, -78.851858, -78.851505, -78.850926, -78.842753, -78.842749, -78.842694, -78.843486, -78.843766, -78.844016, -78.84811, -78.84962, -78.853987, -78.857315, 42.922181, 42.925353, 42.926003, 42.927323, 42.927655, 42.927644, 42.927526, 42.923972, 42.923605, 42.921935, 42.921941, 42.921945, 42.922016, 42.92205, 42.922136, 42.922181)))"
52.02,total_25_29,328,113,"list(list(c(-78.857315, -78.853974, -78.853271, -78.851858, -78.851505, -78.850926, -78.842753, -78.842749, -78.842694, -78.843486, -78.843766, -78.844016, -78.84811, -78.84962, -78.853987, -78.857315, 42.922181, 42.925353, 42.926003, 42.927323, 42.927655, 42.927644, 42.927526, 42.923972, 42.923605, 42.921935, 42.921941, 42.921945, 42.922016, 42.92205, 42.922136, 42.922181)))"
52.02,total_30_34,130,62,"list(list(c(-78.857315, -78.853974, -78.853271, -78.851858, -78.851505, -78.850926, -78.842753, -78.842749, -78.842694, -78.843486, -78.843766, -78.844016, -78.84811, -78.84962, -78.853987, -78.857315, 42.922181, 42.925353, 42.926003, 42.927323, 42.927655, 42.927644, 42.927526, 42.923972, 42.923605, 42.921935, 42.921941, 42.921945, 42.922016, 42.92205, 42.922136, 42.922181)))"
52.02,total_35_39,95,61,"list(list(c(-78.857315, -78.853974, -78.853271, -78.851858, -78.851505, -78.850926, -78.842753, -78.842749, -78.842694, -78.843486, -78.843766, -78.844016, -78.84811, -78.84962, -78.853987, -78.857315, 42.922181, 42.925353, 42.926003, 42.927323, 42.927655, 42.927644, 42.927526, 42.923972, 42.923605, 42.921935, 42.921941, 42.921945, 42.922016, 42.92205, 42.922136, 42.922181)))"
52.02,total_40_44,41,32,"list(list(c(-78.857315, -78.853974, -78.853271, -78.851858, -78.851505, -78.850926, -78.842753, -78.842749, -78.842694, -78.843486, -78.843766, -78.844016, -78.84811, -78.84962, -78.853987, -78.857315, 42.922181, 42.925353, 42.926003, 42.927323, 42.927655, 42.927644, 42.927526, 42.923972, 42.923605, 42.921935, 42.921941, 42.921945, 42.922016, 42.92205, 42.922136, 42.922181)))"
52.02,total_45_49,55,40,"list(list(c(-78.857315, -78.853974, -78.853271, -78.851858, -78.851505, -78.850926, -78.842753, -78.842749, -78.842694, -78.843486, -78.843766, -78.844016, -78.84811, -78.84962, -78.853987, -78.857315, 42.922181, 42.925353, 42.926003, 42.927323, 42.927655, 42.927644, 42.927526, 42.923972, 42.923605, 42.921935, 42.921941, 42.921945, 42.922016, 42.92205, 42.922136, 42.922181)))"
52.02,total_50_54,64,45,"list(list(c(-78.857315, -78.853974, -78.853271, -78.851858, -78.851505, -78.850926, -78.842753, -78.842749, -78.842694, -78.843486, -78.843766, -78.844016, -78.84811, -78.84962, -78.853987, -78.857315, 42.922181, 42.925353, 42.926003, 42.927323, 42.927655, 42.927644, 42.927526, 42.923972, 42.923605, 42.921935, 42.921941, 42.921945, 42.922016, 42.92205, 42.922136, 42.922181)))"
52.02,total_55_59,148,50,"list(list(c(-78.857315, -78.853974, -78.853271, -78.851858, -78.851505, -78.850926, -78.842753, -78.842749, -78.842694, -78.843486, -78.843766, -78.844016, -78.84811, -78.84962, -78.853987, -78.857315, 42.922181, 42.925353, 42.926003, 42.927323, 42.927655, 42.927644, 42.927526, 42.923972, 42.923605, 42.921935, 42.921941, 42.921945, 42.922016, 42.92205, 42.922136, 42.922181)))"
52.02,total_60_64,110,46,"list(list(c(-78.857315, -78.853974, -78.853271, -78.851858, -78.851505, -78.850926, -78.842753, -78.842749, -78.842694, -78.843486, -78.843766, -78.844016, -78.84811, -78.84962, -78.853987, -78.857315, 42.922181, 42.925353, 42.926003, 42.927323, 42.927655, 42.927644, 42.927526, 42.923972, 42.923605, 42.921935, 42.921941, 42.921945, 42.922016, 42.92205, 42.922136, 42.922181)))"
52.02,total_65_69,75,39,"list(list(c(-78.857315, -78.853974, -78.853271, -78.851858, -78.851505, -78.850926, -78.842753, -78.842749, -78.842694, -78.843486, -78.843766, -78.844016, -78.84811, -78.84962, -78.853987, -78.857315, 42.922181, 42.925353, 42.926003, 42.927323, 42.927655, 42.927644, 42.927526, 42.923972, 42.923605, 42.921935, 42.921941, 42.921945, 42.922016, 42.92205, 42.922136, 42.922181)))"
52.02,total_70_74,29,22,"list(list(c(-78.857315, -78.853974, -78.853271, -78.851858, -78.851505, -78.850926, -78.842753, -78.842749, -78.842694, -78.843486, -78.843766, -78.844016, -78.84811, -78.84962, -78.853987, -78.857315, 42.922181, 42.925353, 42.926003, 42.927323, 42.927655, 42.927644, 42.927526, 42.923972, 42.923605, 42.921935, 42.921941, 42.921945, 42.922016, 42.92205, 42.922136, 42.922181)))"
52.02,total_75_79,51,40,"list(list(c(-78.857315, -78.853974, -78.853271, -78.851858, -78.851505, -78.850926, -78.842753, -78.842749, -78.842694, -78.843486, -78.843766, -78.844016, -78.84811, -78.84962, -78.853987, -78.857315, 42.922181, 42.925353, 42.926003, 42.927323, 42.927655, 42.927644, 42.927526, 42.923972, 42.923605, 42.921935, 42.921941, 42.921945, 42.922016, 42.92205, 42.922136, 42.922181)))"
52.02,total_80_84,18,22,"list(list(c(-78.857315, -78.853974, -78.853271, -78.851858, -78.851505, -78.850926, -78.842753, -78.842749, -78.842694, -78.843486, -78.843766, -78.844016, -78.84811, -78.84962, -78.853987, -78.857315, 42.922181, 42.925353, 42.926003, 42.927323, 42.927655, 42.927644, 42.927526, 42.923972, 42.923605, 42.921935, 42.921941, 42.921945, 42.922016, 42.92205, 42.922136, 42.922181)))"
52.02,total_85_older,51,29,"list(list(c(-78.857315, -78.853974, -78.853271, -78.851858, -78.851505, -78.850926, -78.842753, -78.842749, -78.842694, -78.843486, -78.843766, -78.844016, -78.84811, -78.84962, -78.853987, -78.857315, 42.922181, 42.925353, 42.926003, 42.927323, 42.927655, 42.927644, 42.927526, 42.923972, 42.923605, 42.921935, 42.921941, 42.921945, 42.922016, 42.92205, 42.922136, 42.922181)))"
52.02,total_male,NA,NA,"list(list(c(-78.857315, -78.853974, -78.853271, -78.851858, -78.851505, -78.850926, -78.842753, -78.842749, -78.842694, -78.843486, -78.843766, -78.844016, -78.84811, -78.84962, -78.853987, -78.857315, 42.922181, 42.925353, 42.926003, 42.927323, 42.927655, 42.927644, 42.927526, 42.923972, 42.923605, 42.921935, 42.921941, 42.921945, 42.922016, 42.92205, 42.922136, 42.922181)))"
52.02,total_female,1364,206,"list(list(c(-78.857315, -78.853974, -78.853271, -78.851858, -78.851505, -78.850926, -78.842753, -78.842749, -78.842694, -78.843486, -78.843766, -78.844016, -78.84811, -78.84962, -78.853987, -78.857315, 42.922181, 42.925353, 42.926003, 42.927323, 42.927655, 42.927644, 42.927526, 42.923972, 42.923605, 42.921935, 42.921941, 42.921945, 42.922016, 42.92205, 42.922136, 42.922181)))"
57,total_under_5,293,162,"list(list(c(-78.907597, -78.903805, -78.903273, -78.901067, -78.900542, -78.899978, -78.898937, -78.89876, -78.898109, -78.895517, -78.893374, -78.895342, -78.895853, -78.896833, -78.900318, -78.900798, -78.901789, -78.906947, -78.907185, -78.907597, 42.945654, 42.949686, 42.95026, 42.952621, 42.953187, 42.953792, 42.954903, 42.955091, 42.955796, 42.958574, 42.957497, 42.947854, 42.9448, 42.944392, 42.942944, 42.943869, 42.945798, 42.94365, 42.944125, 42.945654)))"
57,total_5_9,242,137,"list(list(c(-78.907597, -78.903805, -78.903273, -78.901067, -78.900542, -78.899978, -78.898937, -78.89876, -78.898109, -78.895517, -78.893374, -78.895342, -78.895853, -78.896833, -78.900318, -78.900798, -78.901789, -78.906947, -78.907185, -78.907597, 42.945654, 42.949686, 42.95026, 42.952621, 42.953187, 42.953792, 42.954903, 42.955091, 42.955796, 42.958574, 42.957497, 42.947854, 42.9448, 42.944392, 42.942944, 42.943869, 42.945798, 42.94365, 42.944125, 42.945654)))"
57,total_10_14,228,122,"list(list(c(-78.907597, -78.903805, -78.903273, -78.901067, -78.900542, -78.899978, -78.898937, -78.89876, -78.898109, -78.895517, -78.893374, -78.895342, -78.895853, -78.896833, -78.900318, -78.900798, -78.901789, -78.906947, -78.907185, -78.907597, 42.945654, 42.949686, 42.95026, 42.952621, 42.953187, 42.953792, 42.954903, 42.955091, 42.955796, 42.958574, 42.957497, 42.947854, 42.9448, 42.944392, 42.942944, 42.943869, 42.945798, 42.94365, 42.944125, 42.945654)))"
57,total_15_19,311,133,"list(list(c(-78.907597, -78.903805, -78.903273, -78.901067, -78.900542, -78.899978, -78.898937, -78.89876, -78.898109, -78.895517, -78.893374, -78.895342, -78.895853, -78.896833, -78.900318, -78.900798, -78.901789, -78.906947, -78.907185, -78.907597, 42.945654, 42.949686, 42.95026, 42.952621, 42.953187, 42.953792, 42.954903, 42.955091, 42.955796, 42.958574, 42.957497, 42.947854, 42.9448, 42.944392, 42.942944, 42.943869, 42.945798, 42.94365, 42.944125, 42.945654)))"
57,total_20_24,310,125,"list(list(c(-78.907597, -78.903805, -78.903273, -78.901067, -78.900542, -78.899978, -78.898937, -78.89876, -78.898109, -78.895517, -78.893374, -78.895342, -78.895853, -78.896833, -78.900318, -78.900798, -78.901789, -78.906947, -78.907185, -78.907597, 42.945654, 42.949686, 42.95026, 42.952621, 42.953187, 42.953792, 42.954903, 42.955091, 42.955796, 42.958574, 42.957497, 42.947854, 42.9448, 42.944392, 42.942944, 42.943869, 42.945798, 42.94365, 42.944125, 42.945654)))"
57,total_25_29,317,132,"list(list(c(-78.907597, -78.903805, -78.903273, -78.901067, -78.900542, -78.899978, -78.898937, -78.89876, -78.898109, -78.895517, -78.893374, -78.895342, -78.895853, -78.896833, -78.900318, -78.900798, -78.901789, -78.906947, -78.907185, -78.907597, 42.945654, 42.949686, 42.95026, 42.952621, 42.953187, 42.953792, 42.954903, 42.955091, 42.955796, 42.958574, 42.957497, 42.947854, 42.9448, 42.944392, 42.942944, 42.943869, 42.945798, 42.94365, 42.944125, 42.945654)))"
57,total_30_34,233,140,"list(list(c(-78.907597, -78.903805, -78.903273, -78.901067, -78.900542, -78.899978, -78.898937, -78.89876, -78.898109, -78.895517, -78.893374, -78.895342, -78.895853, -78.896833, -78.900318, -78.900798, -78.901789, -78.906947, -78.907185, -78.907597, 42.945654, 42.949686, 42.95026, 42.952621, 42.953187, 42.953792, 42.954903, 42.955091, 42.955796, 42.958574, 42.957497, 42.947854, 42.9448, 42.944392, 42.942944, 42.943869, 42.945798, 42.94365, 42.944125, 42.945654)))"
57,total_35_39,60,59,"list(list(c(-78.907597, -78.903805, -78.903273, -78.901067, -78.900542, -78.899978, -78.898937, -78.89876, -78.898109, -78.895517, -78.893374, -78.895342, -78.895853, -78.896833, -78.900318, -78.900798, -78.901789, -78.906947, -78.907185, -78.907597, 42.945654, 42.949686, 42.95026, 42.952621, 42.953187, 42.953792, 42.954903, 42.955091, 42.955796, 42.958574, 42.957497, 42.947854, 42.9448, 42.944392, 42.942944, 42.943869, 42.945798, 42.94365, 42.944125, 42.945654)))"
57,total_40_44,144,72,"list(list(c(-78.907597, -78.903805, -78.903273, -78.901067, -78.900542, -78.899978, -78.898937, -78.89876, -78.898109, -78.895517, -78.893374, -78.895342, -78.895853, -78.896833, -78.900318, -78.900798, -78.901789, -78.906947, -78.907185, -78.907597, 42.945654, 42.949686, 42.95026, 42.952621, 42.953187, 42.953792, 42.954903, 42.955091, 42.955796, 42.958574, 42.957497, 42.947854, 42.9448, 42.944392, 42.942944, 42.943869, 42.945798, 42.94365, 42.944125, 42.945654)))"
57,total_45_49,384,196,"list(list(c(-78.907597, -78.903805, -78.903273, -78.901067, -78.900542, -78.899978, -78.898937, -78.89876, -78.898109, -78.895517, -78.893374, -78.895342, -78.895853, -78.896833, -78.900318, -78.900798, -78.901789, -78.906947, -78.907185, -78.907597, 42.945654, 42.949686, 42.95026, 42.952621, 42.953187, 42.953792, 42.954903, 42.955091, 42.955796, 42.958574, 42.957497, 42.947854, 42.9448, 42.944392, 42.942944, 42.943869, 42.945798, 42.94365, 42.944125, 42.945654)))"
57,total_50_54,139,84,"list(list(c(-78.907597, -78.903805, -78.903273, -78.901067, -78.900542, -78.899978, -78.898937, -78.89876, -78.898109, -78.895517, -78.893374, -78.895342, -78.895853, -78.896833, -78.900318, -78.900798, -78.901789, -78.906947, -78.907185, -78.907597, 42.945654, 42.949686, 42.95026, 42.952621, 42.953187, 42.953792, 42.954903, 42.955091, 42.955796, 42.958574, 42.957497, 42.947854, 42.9448, 42.944392, 42.942944, 42.943869, 42.945798, 42.94365, 42.944125, 42.945654)))"
