"Label (Grouping)","Buffalo city, New York!!Estimate","Buffalo city, New York!!Margin of Error"
"Total:","258,945","±66"
"    White alone","123,198","±5,186"
"    Black or African American alone","96,248","±3,683"
"    American Indian and Alaska Native alone","829","±422"
"    Asian alone","10,830","±2,527"
"    Native Hawaiian and Other Pacific Islander alone","17","±37"
"    Some other race alone","17,430","±2,718"
"    Two or more races:","10,393","±2,602"
"        Two races including Some other race","2,387","±1,161"
"        Two races excluding Some other race, and three or more races","8,006","±2,333"
