"Label (Grouping)","Buffalo city, New York!!Estimate","Buffalo city, New York!!Margin of Error"
"Total:","256,322","±72"
"    White alone","118,102","±4,520"
"    Black or African American alone","90,050","±3,971"
"    American Indian and Alaska Native alone","1,050","±471"
"    Asian alone","16,712","±2,494"
"    Native Hawaiian and Other Pacific Islander alone","22","±43"
"    Some other race alone","17,564","±2,607"
"    Two or more races:","12,822","±2,958"
"        Two races including Some other race","4,072","±1,582"
"        Two races excluding Some other race, and three or more races","8,750","±2,358"
