"Label (Grouping)","Buffalo city, New York!!Estimate","Buffalo city, New York!!Margin of Error"
"Total:","258,699","±39"
"    White alone","122,457","±4,407"
"    Black or African American alone","96,258","±3,859"
"    American Indian and Alaska Native alone","1,387","±647"
"    Asian alone","14,543","±2,361"
"    Native Hawaiian and Other Pacific Islander alone","85","±141"
"    Some other race alone","15,986","±2,643"
"    Two or more races:","7,983","±1,779"
"        Two races including Some other race","2,267","±734"
"        Two races excluding Some other race, and three or more races","5,716","±1,632"
