"Label (Grouping)","Buffalo city, New York!!Estimate","Buffalo city, New York!!Margin of Error"
"Total:","255,300","±64"
"    White alone","114,818","±4,414"
"    Black or African American alone","94,822","±5,160"
"    American Indian and Alaska Native alone","1,403","±472"
"    Asian alone","17,798","±2,543"
"    Native Hawaiian and Other Pacific Islander alone","69","±124"
"    Some other race alone","17,561","±2,900"
"    Two or more races:","8,829","±2,453"
"        Two races including Some other race","1,298","±942"
"        Two races excluding Some other race, and three or more races","7,531","±2,259"
