"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","New York!!Estimate","New York!!Margin of Error","Erie County, New York!!Estimate","Erie County, New York!!Margin of Error","Buffalo city, New York!!Estimate","Buffalo city, New York!!Margin of Error"
"Total:","318,857,056","*****","19,746,227","*****","922,835","*****","258,699","±39"
"    White alone","233,963,128","±99,837","12,634,312","±30,471","720,192","±2,668","122,457","±4,407"
"    Black or African American alone","40,379,066","±57,749","3,093,476","±17,224","124,150","±2,920","96,258","±3,859"
"    American Indian and Alaska Native alone","2,601,714","±27,827","81,512","±6,631","4,483","±815","1,387","±647"
"    Asian alone","16,686,960","±33,816","1,613,255","±8,423","30,501","±1,473","14,543","±2,361"
"    Native Hawaiian and Other Pacific Islander alone","557,154","±12,419","4,574","±1,304","360","±291","85","±141"
"    Some other race alone","15,063,263","±109,804","1,746,680","±33,590","21,162","±2,645","15,986","±2,643"
"    Two or more races:","9,605,771","±83,701","572,418","±19,210","21,987","±3,664","7,983","±1,779"
"        Two races including Some other race","1,478,726","±31,265","137,065","±8,803","4,152","±1,229","2,267","±734"
"        Two races excluding Some other race, and three or more races","8,127,045","±69,401","435,353","±17,034","17,835","±3,218","5,716","±1,632"
