"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","New York!!Estimate","New York!!Margin of Error","Erie County, New York!!Estimate","Erie County, New York!!Margin of Error","Buffalo city, New York!!Estimate","Buffalo city, New York!!Margin of Error"
"Total:","321,418,821","*****","19,795,791","*****","922,578","*****","258,066","±40"
"    White alone","234,940,100","±116,033","12,621,132","±30,579","718,294","±3,386","122,319","±4,210"
"    Black or African American alone","40,695,277","±62,504","3,081,333","±16,953","126,063","±2,299","96,162","±3,711"
"    American Indian and Alaska Native alone","2,597,249","±28,184","69,933","±5,571","4,275","±1,715","1,077","±742"
"    Asian alone","17,273,777","±37,430","1,672,186","±9,568","32,105","±1,390","12,822","±2,459"
"    Native Hawaiian and Other Pacific Islander alone","554,946","±13,174","6,446","±1,887","285","±252","123","±145"
"    Some other race alone","15,375,942","±120,011","1,763,351","±31,551","23,033","±3,242","15,892","±2,995"
"    Two or more races:","9,981,530","±85,150","581,410","±23,387","18,523","±2,904","9,671","±2,428"
"        Two races including Some other race","1,509,221","±34,304","142,861","±10,778","3,655","±1,801","1,710","±1,061"
"        Two races excluding Some other race, and three or more races","8,472,309","±75,809","438,549","±18,484","14,868","±2,721","7,961","±2,469"
