"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","New York!!Estimate","New York!!Margin of Error","Erie County, New York!!Estimate","Erie County, New York!!Margin of Error","Buffalo city, New York!!Estimate","Buffalo city, New York!!Margin of Error"
"Total:","309,349,689","*****","19,392,283","*****","918,652","*****","261,210","±40"
"    White alone","229,397,472","±133,343","12,775,673","±26,664","737,116","±2,847","135,264","±5,775"
"    Black or African American alone","38,874,625","±51,551","3,015,272","±17,302","119,408","±2,952","99,988","±4,242"
"    American Indian and Alaska Native alone","2,553,566","±28,633","71,792","±5,491","6,006","±1,081","1,496","±883"
"    Asian alone","14,728,302","±30,199","1,433,875","±9,785","22,674","±2,749","9,856","±2,397"
"    Native Hawaiian and Other Pacific Islander alone","507,916","±9,515","6,597","±1,710","104","±174","104","±174"
"    Some other race alone","14,889,440","±118,731","1,575,686","±27,562","13,240","±2,958","7,729","±2,561"
"    Two or more races:","8,398,368","±78,458","513,388","±13,896","20,104","±3,822","6,773","±2,030"
"        Two races including Some other race","1,499,425","±36,850","143,739","±8,977","1,590","±954","958","±895"
"        Two races excluding Some other race, and three or more races","6,898,943","±64,162","369,649","±14,197","18,514","±3,828","5,815","±1,876"
