tract,total_unemployment_rate,estimate,moe
2,total_unemployment_rate,3.9,2.6
5,total_unemployment_rate,6.4,5.2
6,total_unemployment_rate,5,4
7,total_unemployment_rate,1.5,1.8
8,total_unemployment_rate,8.6,6.9
9,total_unemployment_rate,5.8,4
10,total_unemployment_rate,5.3,3.3
11,total_unemployment_rate,6.8,5
15,total_unemployment_rate,3.5,3.9
17,total_unemployment_rate,16.1,9.2
19,total_unemployment_rate,1.9,2.2
23,total_unemployment_rate,6.7,5.2
24,total_unemployment_rate,7.4,5
25.02,total_unemployment_rate,7.1,5.7
29,total_unemployment_rate,5.6,7.9
30,total_unemployment_rate,10.8,7.4
31,total_unemployment_rate,10.9,7.3
33.01,total_unemployment_rate,4.7,5.1
33.02,total_unemployment_rate,12.6,10
34,total_unemployment_rate,18.4,11.9
36,total_unemployment_rate,18.9,10.6
37,total_unemployment_rate,8.3,6
38,total_unemployment_rate,17.2,8.3
39.01,total_unemployment_rate,20.9,16.1
41,total_unemployment_rate,6.3,5
42,total_unemployment_rate,8.9,5.4
43,total_unemployment_rate,7.7,4.9
44.01,total_unemployment_rate,9.2,5.1
44.02,total_unemployment_rate,21.2,9.8
45,total_unemployment_rate,4.4,3.4
46.01,total_unemployment_rate,1.1,1.5
48,total_unemployment_rate,4,2.3
50,total_unemployment_rate,0.8,1.4
51,total_unemployment_rate,1.2,1.5
52.01,total_unemployment_rate,5.6,4.2
52.02,total_unemployment_rate,5.5,3.7
53,total_unemployment_rate,7.6,4.7
54,total_unemployment_rate,6.4,7.5
55,total_unemployment_rate,4.9,3.2
56,total_unemployment_rate,10.8,5.5
57,total_unemployment_rate,2.5,3.7
58.01,total_unemployment_rate,3.5,2.7
58.02,total_unemployment_rate,2.5,2.7
59,total_unemployment_rate,13.5,9.8
61,total_unemployment_rate,7.5,4.1
63.01,total_unemployment_rate,1.7,2.1
63.02,total_unemployment_rate,0.6,1
65.01,total_unemployment_rate,4.8,3.8
66.01,total_unemployment_rate,2,2.1
66.02,total_unemployment_rate,5.8,4
67.01,total_unemployment_rate,2.2,1.9
67.02,total_unemployment_rate,4.5,5
69.01,total_unemployment_rate,2.5,2
70,total_unemployment_rate,4.7,3.4
71.02,total_unemployment_rate,3.2,3.2
72.02,total_unemployment_rate,5.9,7
163,total_unemployment_rate,13.8,10.3
164,total_unemployment_rate,5.5,5.4
165,total_unemployment_rate,3.5,2.6
166,total_unemployment_rate,22.9,10.6
167,total_unemployment_rate,16.3,11.4
169,total_unemployment_rate,5.9,3.3
170,total_unemployment_rate,14.2,7.7
171,total_unemployment_rate,5.5,4
174,total_unemployment_rate,7.1,5.8
