zip_code,age_sex_totals,estimate,moe
14213,total_50_54,957,225
14213,total_55_59,1076,209
14213,total_60_64,1067,366
14213,total_65_69,708,167
14213,total_70_74,438,126
14213,total_75_79,267,152
14213,total_80_84,146,55
14213,total_85_older,216,85
14213,total_male,NA,NA
14213,total_female,11426,987
14214,total_under_5,1077,268
14214,total_5_9,883,243
14214,total_10_14,815,181
14214,total_15_19,1925,346
14214,total_20_24,3009,668
14214,total_25_29,2354,526
14214,total_30_34,1246,280
14214,total_35_39,1102,232
14214,total_40_44,984,238
14214,total_45_49,1160,225
14214,total_50_54,814,196
14214,total_55_59,892,173
14214,total_60_64,1176,269
14214,total_65_69,883,248
14214,total_70_74,532,133
14214,total_75_79,313,100
14214,total_80_84,215,96
14214,total_85_older,374,119
14214,total_male,NA,NA
14214,total_female,10156,875
14215,total_under_5,2912,514
14215,total_5_9,3367,601
14215,total_10_14,3132,521
14215,total_15_19,2887,347
14215,total_20_24,3774,887
14215,total_25_29,3349,673
14215,total_30_34,3228,564
14215,total_35_39,2709,461
14215,total_40_44,2286,388
14215,total_45_49,2086,351
14215,total_50_54,2441,415
14215,total_55_59,2344,435
14215,total_60_64,1994,449
14215,total_65_69,1528,241
14215,total_70_74,1286,295
14215,total_75_79,660,170
14215,total_80_84,545,135
14215,total_85_older,812,444
14215,total_male,NA,NA
14215,total_female,17510,1170
14216,total_under_5,1444,389
14216,total_5_9,968,239
14216,total_10_14,687,202
14216,total_15_19,951,261
14216,total_20_24,1296,408
14216,total_25_29,2969,559
14216,total_30_34,2547,690
14216,total_35_39,1686,291
14216,total_40_44,1200,246
14216,total_45_49,1334,316
14216,total_50_54,1018,235
14216,total_55_59,1212,213
14216,total_60_64,1052,208
14216,total_65_69,1265,307
14216,total_70_74,979,268
14216,total_75_79,281,120
14216,total_80_84,291,127
14216,total_85_older,284,103
14216,total_male,NA,NA
14216,total_female,10392,827
14220,total_under_5,1317,273
14220,total_5_9,1260,292
14220,total_10_14,1400,303
14220,total_15_19,1428,362
14220,total_20_24,1370,284
14220,total_25_29,1782,299
14220,total_30_34,1597,293
14220,total_35_39,1768,285
14220,total_40_44,1157,216
14220,total_45_49,1139,256
14220,total_50_54,1372,295
14220,total_55_59,1704,331
14220,total_60_64,1685,346
14220,total_65_69,1562,350
14220,total_70_74,927,267
14220,total_75_79,503,161
14220,total_80_84,333,98
14220,total_85_older,337,131
14220,total_male,NA,NA
14220,total_female,10993,707
14222,total_under_5,678,257
14222,total_5_9,344,168
14222,total_10_14,313,130
14222,total_15_19,1636,302
14222,total_20_24,1806,330
14222,total_25_29,2100,403
14222,total_30_34,1678,372
14222,total_35_39,954,390
14222,total_40_44,687,405
14222,total_45_49,706,188
14222,total_50_54,768,253
14222,total_55_59,707,167
14222,total_60_64,723,219
14222,total_65_69,663,209
14222,total_70_74,514,148
14222,total_75_79,353,124
14222,total_80_84,192,76
14222,total_85_older,281,115
14222,total_male,NA,NA
14222,total_female,7491,748
