"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","New York!!Estimate","New York!!Margin of Error","Erie County, New York!!Estimate","Erie County, New York!!Margin of Error","Buffalo city, New York!!Estimate","Buffalo city, New York!!Margin of Error"
"Total:","318,857,056","*****","19,746,227","*****","922,835","*****","258,699","±39"
"    Male:","156,890,101","±27,214","9,574,309","±3,968","446,724","±807","122,130","±2,829"
"        Under 5 years","10,117,103","±14,351","602,093","±1,968","25,564","±719","8,944","±1,303"
"        5 to 9 years","10,511,796","±34,843","589,130","±8,111","24,695","±1,618","7,263","±1,187"
"        10 to 14 years","10,596,279","±31,843","595,271","±8,407","29,587","±1,611","7,042","±1,205"
"        15 to 17 years","6,390,741","±14,826","369,832","±1,851","17,422","±362","5,487","±804"
"        18 and 19 years","4,550,073","±18,486","274,959","±3,251","13,607","±631","4,328","±859"
"        20 years","2,416,850","±24,462","152,681","±6,362","6,471","±1,112","2,117","±633"
"        21 years","2,375,223","±26,337","146,620","±5,653","7,777","±1,135","2,235","±708"
"        22 to 24 years","6,830,222","±30,891","424,999","±7,078","19,515","±1,633","7,356","±1,556"
"        25 to 29 years","11,070,617","±19,538","736,776","±2,555","34,192","±188","13,014","±1,202"
"        30 to 34 years","10,765,544","±16,343","678,671","±2,175","28,436","±186","9,861","±1,468"
"        35 to 39 years","10,001,134","±46,125","611,240","±9,150","23,329","±1,735","6,290","±1,161"
"        40 to 44 years","10,273,647","±44,004","617,633","±8,926","27,442","±1,678","7,087","±1,279"
"        45 to 49 years","10,309,499","±15,396","658,993","±2,219","29,872","±148","6,112","±1,049"
"        50 to 54 years","11,049,751","±14,983","696,153","±2,002","33,242","±187","6,936","±919"
"        55 to 59 years","10,333,822","±35,850","647,690","±8,731","32,835","±1,694","8,738","±1,170"
"        60 and 61 years","3,811,110","±25,070","233,555","±6,362","12,464","±1,435","2,662","±813"
"        62 to 64 years","5,174,218","±30,360","313,042","±6,713","16,093","±1,417","3,613","±736"
"        65 and 66 years","3,217,874","±20,423","188,864","±5,062","9,967","±1,033","1,866","±567"
"        67 to 69 years","4,010,030","±21,869","242,079","±5,058","12,831","±1,454","2,924","±712"
"        70 to 74 years","5,125,062","±21,460","297,780","±5,512","14,379","±1,447","2,523","±675"
"        75 to 79 years","3,523,217","±18,340","211,490","±4,733","10,286","±1,071","2,377","±605"
"        80 to 84 years","2,393,854","±16,995","149,563","±4,500","8,401","±1,073","2,118","±595"
"        85 years and over","2,042,435","±18,071","135,195","±4,498","8,317","±1,032","1,237","±488"
"    Female:","161,966,955","±27,214","10,171,918","±3,968","476,111","±807","136,569","±2,842"
"        Under 5 years","9,655,907","±15,087","580,199","±2,264","24,330","±716","8,584","±912"
"        5 to 9 years","10,051,779","±40,563","561,029","±7,799","24,784","±1,851","9,561","±1,493"
"        10 to 14 years","10,153,522","±37,900","570,433","±8,032","27,247","±1,853","7,962","±1,137"
"        15 to 17 years","6,100,296","±14,412","357,286","±2,052","17,280","±373","4,827","±872"
"        18 and 19 years","4,305,907","±21,000","266,295","±2,751","12,656","±390","3,781","±713"
"        20 years","2,256,243","±25,137","141,024","±5,717","5,544","±1,075","1,974","±648"
"        21 years","2,254,759","±23,379","141,693","±6,443","6,221","±1,120","3,140","±1,021"
"        22 to 24 years","6,564,732","±31,559","433,071","±6,655","21,356","±1,252","9,218","±1,332"
"        25 to 29 years","10,768,567","±15,348","737,795","±2,493","33,448","±182","10,744","±1,208"
"        30 to 34 years","10,718,371","±15,681","692,606","±2,247","28,297","±108","10,181","±1,316"
"        35 to 39 years","10,028,151","±36,258","625,453","±8,806","22,788","±1,726","7,753","±1,111"
"        40 to 44 years","10,448,427","±41,770","653,400","±8,579","29,698","±1,698","7,517","±1,094"
"        45 to 49 years","10,523,987","±13,875","690,899","±2,351","31,684","±227","7,496","±996"
"        50 to 54 years","11,470,040","±11,841","741,234","±1,809","35,333","±128","8,528","±920"
"        55 to 59 years","10,980,866","±33,042","696,980","±8,568","35,758","±2,020","8,152","±1,028"
"        60 and 61 years","4,120,156","±30,628","257,656","±6,294","12,143","±1,610","3,101","±742"
"        62 to 64 years","5,662,824","±31,040","354,156","±7,479","19,064","±1,888","4,036","±798"
"        65 and 66 years","3,571,906","±21,749","224,577","±5,390","11,673","±1,305","2,065","±566"
"        67 to 69 years","4,459,751","±24,953","273,988","±6,414","13,776","±1,496","3,618","±653"
"        70 to 74 years","6,033,581","±27,905","376,443","±6,895","18,309","±1,512","4,822","±906"
"        75 to 79 years","4,418,908","±23,749","277,943","±5,271","14,309","±1,485","3,275","±716"
"        80 to 84 years","3,414,740","±20,916","228,144","±5,413","13,866","±1,602","3,465","±885"
"        85 years and over","4,003,535","±23,363","289,614","±5,411","16,547","±1,427","2,769","±650"
