"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","New York!!Estimate","New York!!Margin of Error","Erie County, New York!!Estimate","Erie County, New York!!Margin of Error","Buffalo city, New York!!Estimate","Buffalo city, New York!!Margin of Error"
"Total:","311,591,919","*****","19,465,197","*****","918,028","*****","261,004","±77"
"    Male:","153,267,861","±29,450","9,438,007","±3,858","443,220","±463","124,748","±2,473"
"        Under 5 years","10,258,117","±17,559","593,570","±2,143","25,121","±327","9,109","±997"
"        5 to 9 years","10,384,771","±49,538","592,185","±8,545","27,745","±1,810","9,117","±1,623"
"        10 to 14 years","10,636,801","±46,950","609,586","±8,298","27,839","±1,810","7,228","±938"
"        15 to 17 years","6,539,994","±15,203","397,117","±1,769","18,879","±332","6,110","±958"
"        18 and 19 years","4,680,974","±18,214","287,710","±2,391","14,697","±583","6,073","±953"
"        20 years","2,488,989","±28,533","162,301","±5,334","8,742","±1,367","2,479","±667"
"        21 years","2,389,475","±24,358","151,777","±6,020","6,660","±1,502","1,934","±603"
"        22 to 24 years","6,435,552","±33,728","409,129","±7,030","19,032","±1,575","6,941","±1,424"
"        25 to 29 years","10,640,680","±15,112","694,699","±2,266","30,524","±287","9,779","±1,341"
"        30 to 34 years","10,251,662","±18,328","644,152","±2,731","25,512","±104","9,762","±1,239"
"        35 to 39 years","9,822,749","±45,452","608,171","±10,689","25,339","±2,046","7,535","±1,057"
"        40 to 44 years","10,485,486","±48,291","652,414","±10,800","27,907","±2,033","6,731","±1,131"
"        45 to 49 years","10,951,047","±15,664","698,494","±1,898","32,633","±268","8,449","±1,129"
"        50 to 54 years","11,039,046","±18,247","693,773","±1,671","35,045","±268","8,640","±1,048"
"        55 to 59 years","9,775,709","±29,164","619,143","±7,418","32,874","±1,935","8,932","±1,078"
"        60 and 61 years","3,540,293","±25,308","215,009","±5,873","9,820","±1,398","1,912","±637"
"        62 to 64 years","5,030,270","±27,181","301,468","±6,057","15,936","±1,616","3,395","±892"
"        65 and 66 years","2,575,371","±25,302","158,232","±4,540","8,474","±1,064","1,346","±451"
"        67 to 69 years","3,487,306","±27,140","207,430","±5,187","10,499","±1,117","2,050","±558"
"        70 to 74 years","4,412,234","±26,071","261,847","±5,768","12,408","±1,150","2,524","±635"
"        75 to 79 years","3,226,282","±17,615","198,071","±4,928","10,516","±1,170","2,037","±480"
"        80 to 84 years","2,330,345","±19,270","154,733","±4,345","9,955","±1,097","1,766","±546"
"        85 years and over","1,884,708","±15,418","126,996","±4,593","7,063","±1,134","899","±401"
"    Female:","158,324,058","±29,450","10,027,190","±3,858","474,808","±463","136,256","±2,481"
"        Under 5 years","9,809,711","±16,353","563,887","±2,101","23,711","±327","7,785","±1,076"
"        5 to 9 years","9,992,008","±41,125","565,082","±10,163","26,331","±1,960","7,764","±1,235"
"        10 to 14 years","10,117,730","±36,616","583,366","±10,035","27,548","±1,962","7,422","±1,136"
"        15 to 17 years","6,171,569","±15,503","374,829","±1,854","17,925","±349","4,887","±794"
"        18 and 19 years","4,429,937","±22,080","276,058","±3,088","13,203","±434","4,719","±717"
"        20 years","2,344,794","±25,872","147,751","±6,374","9,454","±1,182","3,517","±895"
"        21 years","2,300,751","±30,077","148,393","±6,482","7,551","±1,213","3,025","±909"
"        22 to 24 years","6,139,076","±37,955","404,752","±8,375","17,070","±1,362","6,561","±1,125"
"        25 to 29 years","10,448,226","±18,085","705,891","±2,081","29,927","±151","12,848","±1,393"
"        30 to 34 years","10,199,778","±15,799","664,169","±2,226","26,244","±338","8,602","±1,337"
"        35 to 39 years","9,888,423","±36,350","624,876","±9,475","26,664","±1,855","7,967","±1,151"
"        40 to 44 years","10,631,052","±37,883","681,333","±9,292","28,987","±1,923","7,275","±1,072"
"        45 to 49 years","11,191,305","±15,819","734,588","±1,647","34,055","±344","8,704","±1,181"
"        50 to 54 years","11,471,989","±14,914","740,323","±1,955","37,402","±263","9,436","±1,069"
"        55 to 59 years","10,398,602","±38,657","660,664","±9,404","35,719","±1,686","9,336","±1,233"
"        60 and 61 years","3,837,896","±29,693","247,269","±7,856","11,611","±1,323","3,499","±917"
"        62 to 64 years","5,482,431","±31,548","346,348","±7,125","15,946","±1,641","4,528","±875"
"        65 and 66 years","2,832,346","±19,580","184,446","±6,336","9,613","±1,055","1,973","±661"
"        67 to 69 years","3,949,049","±27,539","250,266","±5,808","12,224","±1,335","2,453","±665"
"        70 to 74 years","5,232,923","±28,524","333,481","±7,646","16,983","±1,335","3,899","±807"
"        75 to 79 years","4,158,172","±24,562","271,421","±6,159","16,269","±1,363","4,103","±817"
"        80 to 84 years","3,482,553","±21,319","243,074","±5,571","15,438","±1,407","3,118","±597"
"        85 years and over","3,813,737","±25,299","274,923","±5,556","14,933","±1,479","2,835","±663"
