"Label (Grouping)","Buffalo city, New York!!Estimate","Buffalo city, New York!!Margin of Error"
"Total:","261,210","±40"
"    White alone","135,264","±5,775"
"    Black or African American alone","99,988","±4,242"
"    American Indian and Alaska Native alone","1,496","±883"
"    Asian alone","9,856","±2,397"
"    Native Hawaiian and Other Pacific Islander alone","104","±174"
"    Some other race alone","7,729","±2,561"
"    Two or more races:","6,773","±2,030"
"        Two races including Some other race","958","±895"
"        Two races excluding Some other race, and three or more races","5,815","±1,876"
