"Label (Grouping)","Buffalo city, New York!!Estimate","Buffalo city, New York!!Margin of Error"
"Total:","256,908","±38"
"    White alone","120,967","±4,783"
"    Black or African American alone","94,657","±3,356"
"    American Indian and Alaska Native alone","1,281","±791"
"    Asian alone","16,617","±2,901"
"    Native Hawaiian and Other Pacific Islander alone","240","±193"
"    Some other race alone","13,529","±2,907"
"    Two or more races:","9,617","±2,376"
"        Two races including Some other race","2,292","±1,297"
"        Two races excluding Some other race, and three or more races","7,325","±1,810"
