"Label (Grouping)","Buffalo city, New York!!Estimate","Buffalo city, New York!!Margin of Error"
"Total:","258,066","±40"
"    White alone","122,319","±4,210"
"    Black or African American alone","96,162","±3,711"
"    American Indian and Alaska Native alone","1,077","±742"
"    Asian alone","12,822","±2,459"
"    Native Hawaiian and Other Pacific Islander alone","123","±145"
"    Some other race alone","15,892","±2,995"
"    Two or more races:","9,671","±2,428"
"        Two races including Some other race","1,710","±1,061"
"        Two races excluding Some other race, and three or more races","7,961","±2,469"
