"Label (Grouping)","Buffalo city, New York!!Estimate","Buffalo city, New York!!Margin of Error"
"Total:","259,386","±32"
"    White alone","128,663","±4,389"
"    Black or African American alone","95,223","±3,526"
"    American Indian and Alaska Native alone","1,140","±708"
"    Asian alone","11,733","±1,856"
"    Native Hawaiian and Other Pacific Islander alone","173","±286"
"    Some other race alone","13,519","±2,472"
"    Two or more races:","8,935","±1,912"
"        Two races including Some other race","1,569","±929"
"        Two races excluding Some other race, and three or more races","7,366","±1,807"
